,r,s,p,elevation
0,119.99999999999999,22.400000000000013,0.0,-839.939453124986
1,120.00972692576757,22.400062518475455,1.0,-839.8787242243039
2,120.01945386024367,22.400124455164402,2.0,-851.5089106254985
3,120.0291808033469,22.400185810064535,3.0,-841.531535975575
4,120.03890775499586,22.400246583173583,4.0,-690.376972713428
5,120.0486347151092,22.40030677448928,5.0,-680.4291692348023
6,120.0583616836055,22.400366384009388,6.0,-735.1892578507443
7,120.06808866040339,22.40042541173169,7.0,-724.1022055062682
8,120.07781564542144,22.40048385765399,8.0,-692.8175223784774
9,120.0875426385783,22.400541721774122,9.0,-663.119422284645
10,120.09726963979254,22.40059900408992,10.0,-637.283513289449
11,120.10699664898281,22.400655704599266,11.0,-615.8886211283825
12,120.11672366606767,22.400711823300046,12.0,-602.2764787929156
13,120.12645069096575,22.400767360190176,13.0,-581.5069633120407
14,120.13617772359567,22.400822315267582,14.0,-642.7106328730581
15,120.14590476387598,22.40087668853023,15.0,-636.6419680893086
16,120.1556318117253,22.400930479976093,16.0,-635.1107483522525
17,120.16535886706225,22.400983689603173,17.0,-634.8578760725958
18,120.1750859298054,22.401036317409485,18.0,-516.4158270264154
19,120.18481299987337,22.401088363393075,19.0,-434.07662837512805
20,120.19454007718473,22.401139827552008,20.0,-426.4079031677551
21,120.20426716165805,22.40119070988437,21.0,-361.5152603671576
22,120.21399425321202,22.401241010388272,22.0,-325.3028014341398
23,120.22372135176514,22.401290729061834,23.0,-287.2047002211905
24,120.23344845723602,22.401339865903214,24.0,-258.6887917944108
25,120.24317556954328,22.401388420910582,25.0,-241.18803069622453
26,120.25290268860549,22.401436394082133,26.0,-228.86712839703296
27,120.26262981434122,22.401483785416087,27.0,-214.0597595629121
28,120.27235694666908,22.401530594910668,28.0,-192.1676509098169
29,120.28208408550766,22.40157682256415,29.000000000000004,-160.4425975952768
30,120.29181123077551,22.4016224683748,30.0,-135.4147259760732
31,120.30153838239127,22.401667532340937,30.999999999999996,-112.05901912430679
32,120.31126554027345,22.401712014460877,32.0,-124.2632023216707
33,120.32099270434071,22.40175591473295,33.0,-290.73385187317507
34,120.33071987451159,22.40179923315555,34.0,-366.02460924861197
35,120.34044705070467,22.401841969727045,35.0,-356.3321554392933
36,120.35017423283851,22.401884124445857,36.0,-332.0081601333279
37,120.35990142083172,22.401925697310414,37.0,-279.722825160854
38,120.36962861460287,22.40196668831917,38.0,-280.9954005980945
39,120.37935581407056,22.402007097470598,39.0,-348.91023477721916
40,120.38908301915333,22.402046924763198,40.0,-314.0529026188235
41,120.39881022976975,22.40208617019549,41.0,-300.04495435888197
42,120.40853744583843,22.402124833766013,42.0,-233.55867521285282
43,120.41826466727792,22.402162915473323,43.0,-78.32703549975119
44,120.42799189400678,22.402200415316017,44.0,-36.914697904913865
45,120.4377191259436,22.402237333292685,45.0,-39.24542418826644
46,120.44744636300697,22.40227366940196,46.0,-32.08330237896785
47,120.45717360511541,22.402309423642492,47.0,-26.24882737818372
48,120.46690085218754,22.40234459601296,48.0,-23.146967506741667
49,120.47662810414191,22.402379186512036,49.0,-21.499059549213566
50,120.48635536089708,22.402413195138447,50.0,-20.364742071995632
51,120.49608262237162,22.402446621890924,51.0,-19.13836256564767
52,120.50580988848408,22.40247946676822,52.0,-17.925997752836064
53,120.51553715915307,22.402511729769127,53.0,-11.965691853294732
54,120.52526443429711,22.402543410892427,54.0,-3.9242966807834248
55,120.53499171383481,22.40257451013695,55.0,4.269336987466646
56,120.54471899768467,22.40260502750155,56.0,1.9127974582014229
57,120.55444628576534,22.40263496298507,57.0,2.5227083428707777
58,120.5641735779953,22.402664316586414,58.00000000000001,7.936765094586746
59,120.57390087429314,22.402693088304485,59.0,12.43939766455997
60,120.58362817457744,22.40272127813821,60.0,17.563956331006995
61,120.59335547876675,22.40274888608654,61.0,22.559856338532615
62,120.60308278677961,22.402775912148446,61.99999999999999,29.970003576332022
63,120.61281009853462,22.402802356322933,63.0,31.245881607560012
64,120.62253741395033,22.40282821860901,64.0,34.94250639658581
65,120.63226473294526,22.40285349900572,65.0,98.44630805862086
66,120.641992055438,22.402878197512116,66.0,253.55096169529827
67,120.65171938134709,22.402902314127278,67.0,393.7838388584428
68,120.6614467105911,22.40292584885032,68.0,383.72700605842226
69,120.67117404308858,22.402948801680363,69.0,351.45232097994915
70,120.68090137875811,22.402971172616542,70.0,614.2477572096927
71,120.69062871751821,22.402992961658033,71.0,660.8377782838104
72,120.70035605928746,22.40301416880403,72.0,390.38453890142193
73,120.71008340398441,22.40303479405374,73.0,389.79356909457994
74,120.7198107515276,22.403054837406394,74.0,495.23483434520995
75,120.72953810183559,22.403074298861245,75.0,616.4407725658343
76,120.73926545482695,22.403093178417574,76.0,836.9515379724764
77,120.74899281042019,22.40311147607468,77.0,1255.772067606375
78,120.7587201685339,22.403129191831884,78.0,1448.2622988010976
79,120.76844752908666,22.40314632568851,79.0,1156.3600351136884
80,120.77817489199694,22.403162877643936,80.0,1213.9026814428444
