date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2017-01-02 01:20:08.06 24.5945 121.8413 76.40 4.03 99 2.40 106 0.21 0.20 0.20 F 290 B
2017-01-04 07:07:21.87 24.0525 121.8145 52.93 4.76 99 21.60 110 0.28 0.30 0.20 F 231 B
2017-01-25 07:33:06.42 24.2383 121.8330 57.48 4.95 99 11.50 105 0.28 0.20 0.20 F 295 B
2017-01-26 16:12:39.76 23.9263 121.6892 52.84 4.42 99 9.20 87 0.25 0.20 0.10 F 332 B
2017-02-14 06:54:35.44 22.5667 121.6250 12.02 4.33 99 19.90 150 0.32 0.20 0.10 F 213 C
2017-02-18 12:27:39.39 22.5467 121.3383 20.50 4.59 99 19.40 99 0.32 0.10 0.20 F 235 C
2017-03-10 06:03:18.12 24.0187 121.7743 51.60 4.44 99 17.10 98 0.28 0.30 0.20 F 314 B
2017-03-29 16:34:02.79 22.5162 121.0212 16.79 4.50 99 10.70 52 0.31 0.10 0.20 F 217 B
2017-03-29 22:38:40.00 23.9707 121.6312 45.48 4.18 99 1.90 89 0.31 0.20 0.20 F 254 B
2017-04-01 03:55:42.30 23.2192 121.4058 24.59 4.05 99 11.70 112 0.33 0.20 0.20 F 240 C
2017-04-06 21:40:39.42 24.3110 121.9167 10.16 4.21 99 17.00 76 0.47 0.40 0.60 F 220 B
2017-04-18 14:38:01.39 23.3797 121.4475 32.94 4.00 99 7.00 114 0.35 0.20 0.20 F 252 C
2017-05-05 05:07:30.35 23.4280 121.5167 34.32 4.63 99 11.80 120 0.33 0.20 0.20 F 242 C
2017-05-08 07:30:01.59 24.4228 121.9318 23.74 4.12 99 15.80 102 0.31 0.20 0.10 F 202 C
2017-05-15 23:12:54.53 23.2797 121.4328 24.91 5.75 99 4.50 112 0.33 0.10 0.10 F 273 C
2017-05-20 07:21:00.97 23.8880 121.0228 16.83 4.00 99 11.70 21 0.31 0.10 0.10 F 218 B
2017-05-31 23:47:41.57 24.8762 121.8738 97.16 4.11 99 5.10 109 0.29 0.30 0.20 F 181 B
2017-06-10 16:46:20.59 24.6197 121.6262 58.05 4.06 99 5.70 32 0.23 0.20 0.20 F 221 B
2017-06-17 06:20:12.29 24.0963 121.6680 9.52 4.12 99 6.60 90 0.31 0.20 0.10 F 196 C
2017-06-18 05:03:26.33 22.7078 121.3213 84.98 4.02 99 15.60 63 0.36 0.20 0.20 F 220 B
2017-06-21 07:25:39.05 24.6560 121.9227 62.80 5.09 99 8.30 82 0.23 0.20 0.10 F 223 B
2017-07-17 19:16:26.64 23.5858 121.5653 35.22 4.66 99 13.60 105 0.28 0.20 0.20 F 263 B
2017-07-26 17:28:34.16 23.3607 121.5908 41.86 4.11 99 22.40 123 0.27 0.20 0.20 F 241 B
2017-08-09 16:05:36.40 23.5565 121.4335 31.86 4.73 99 7.20 88 0.41 0.20 0.20 F 269 B
2017-08-11 01:58:54.23 23.1883 121.3990 21.00 4.97 99 10.40 108 0.30 0.10 0.10 F 224 B
2017-09-02 15:04:18.27 22.5683 121.3700 36.60 4.62 99 15.40 114 0.35 0.20 0.20 F 244 C
2017-09-05 10:08:05.79 24.0282 121.5267 18.59 4.24 99 7.70 44 0.30 0.20 0.20 F 193 B
2017-09-12 00:06:01.50 23.9737 121.7850 51.61 4.18 99 17.40 112 0.29 0.20 0.20 F 251 B
2017-09-15 07:58:43.55 22.8555 121.2833 18.28 4.19 99 13.10 78 0.35 0.10 0.10 F 211 B
2017-09-17 22:39:54.27 23.5670 121.5592 28.67 4.83 99 15.60 81 0.30 0.20 0.10 F 249 B
2017-09-20 14:29:56.98 23.3162 121.7813 28.98 5.85 99 33.70 122 0.31 0.30 0.20 F 296 C
2017-09-26 12:42:00.66 24.9162 121.8187 117.21 4.06 99 6.90 54 0.30 0.30 0.20 F 287 B
2017-10-29 21:50:43.08 23.9720 121.1202 36.33 4.15 99 2.20 19 0.30 0.10 0.10 F 238 B
2017-11-03 23:34:48.21 23.5528 121.5548 29.98 5.29 99 14.90 92 0.29 0.20 0.20 F 274 B
2017-11-26 18:43:44.58 24.1597 121.6797 32.59 4.46 99 5.80 69 0.32 0.20 0.10 F 234 B
2017-12-08 19:13:06.56 24.2400 121.6900 17.93 4.00 99 9.60 76 0.27 0.10 0.10 F 230 B
2017-12-08 00:00:43.60 24.7937 121.9507 94.55 4.05 99 5.40 97 0.21 0.20 0.20 F 228 B
2017-12-26 20:02:53.83 23.1072 121.3517 18.96 4.15 99 2.40 49 0.26 0.20 0.10 F 232 B
